Question,Answer
"What was Frederick Soddy's vision for the future before he became disillusioned with nuclear science?","Frederick Soddy originally foresaw a future of unlimited energy from nuclear science, which he believed would lead to a clean and beautiful world."
"What event represented Frederick Soddy's 'worst nightmares' realized, and when did it occur?","Frederick Soddy's worst nightmares were realized when the atomic bomb 'Little Boy' was dropped on Hiroshima on August 6, 1945."
"What element was used to create the atomic bomb dropped on Hiroshima?","The atomic bomb dropped on Hiroshima was made with uranium."
"In what way did Frederick Soddy contribute to our understanding of isotope theory?","Frederick Soddy contributed to isotope theory by discovering that different atoms of the same element can have different numbers of neutrons, and therefore, different masses."
"Why might protactinium still not appear on eBay, despite its ability to be displayed?","Despite protactinium's ability to be displayed safely, its practical unavailability and rarity make its appearance on a marketplace like eBay unlikely."
"What is the atomic number of uranium?","The atomic number of uranium is 92."
"What major historical event is associated with the first use of a uranium fission bomb?","The detonation over Hiroshima during World War II is associated with the first use of a uranium fission bomb."
"Where was the first atomic weapon, a uranium fission bomb, built?","It was built in secret in the deserts of New Mexico."
"What comparisons are made to emphasize the Manhattan Project's significance?","The project is compared to the Great Wall of China and the Apollo moon shot, but noted as unparalleled in consequence and faith required."
"Why didn't scientists test the uranium bomb before its use in Hiroshima?","They were confident it would work and had only enough 235U for one bomb."
"What was the Trinity test, and what did it prove?","The Trinity test was a demonstration of the plutonium-based bomb design, proving its feasibility before the bombing of Nagasaki."
"How did the Manhattan Project's scientists gauge the feasibility of the atomic bomb?","They relied on the successful Trinity test of a plutonium-based bomb to infer the uranium bomb's effectiveness."
"What are the naturally occurring proportions of 238U and 235U in uranium?","Naturally occurring uranium consists of 99.28 percent 238U and 0.71 percent 235U."
"Which uranium isotope is used for making fission bombs?","235U is used for making fission bombs."
"How is 'depleted uranium' (DU) created?","Depleted uranium is created by removing about two-thirds of the 235U when uranium is processed for bomb making."
"For what purposes is depleted uranium commonly used?","DU is used because of its hardness and density to make armor-piercing projectiles and because it catches fire on impact."
"How does tungsten compare to DU in terms of use?","Tungsten, which is similarly dense to DU, can also be used for making projectiles, but DU is more readily available to nuclear states from bomb making."
"Why might governments with nuclear capabilities choose DU over tungsten for projectiles?","Governments may choose DU over tungsten due to the abundance of leftover DU from bomb production and its property of igniting on impact."
"What risk does using Fiestaware pose?","Eating from Fiestaware, especially if it contacts acidic foods, poses a risk because uranium can leach out of the glaze as it’s a heavy metal poison."
"What type of radioactive decay do the orange Fiestaware plates and bowls from pre-1942 emit?","They emit alpha radiation."
"Is it legal for private individuals to own uranium or thorium?","Yes, possession of up to fifteen pounds of natural uranium or thorium is legal for private individuals."
"What happens to the elements in the periodic table after uranium?","After uranium, elements do not occur naturally and must be manufactured in nuclear reactors."
"What element comes after uranium in the periodic table, marking the start of man-made elements?","Neptunium comes after uranium in the periodic table."
"Why is the question of mankind's survival after the invention of the atomic bomb considered 'open'?","The long-term effects and the potential for future atomic conflicts make the impact of the atomic bomb on mankind's survival uncertain."
"Despite the singular use in warfare, how else has uranium manifested in recent conflicts?","In recent wars, uranium has been used in armor-piercing projectiles aside from its wartime application in nuclear bombs."
"What precaution did the colleague at the software company take after measuring the radioactivity of her Fiestaware?","She started storing the particularly radioactive set of bowls further away from the sink."
"What is the atomic number of neptunium?","The atomic number of neptunium is 93."
"What general trend is observed in the radioactive elements from atomic numbers 89 through 97?","The trend is that odd-numbered elements have very short half-lives, while even-numbered ones can last much longer, sometimes for billions of years."
"What similarity do the noble gases share with even-numbered radioactive elements in terms of stability?","Just like noble gases have a complete outer shell of electrons making them chemically stable, even-numbered elements have advantageous configurations of protons and neutrons that make them more stable."
"Which elements are named after planets, and what are their atomic numbers?","Elements 92 (uranium), 93 (neptunium), and 94 (plutonium) are all named after planets."
"Why was it surprising that uranium was discovered in 1789?","It was surprising because the phenomenon of radioactivity, a distinctive property of uranium, was not discovered until 1895, more than a hundred years later."
"When and where was neptunium first discovered?","Neptunium was first discovered in 1940 at the University of California, Berkeley."
"Why is uranium (element 92) often considered the last naturally occurring element?","Uranium is considered the last naturally occurring element due to convention, but actually trace amounts of neptunium can occur naturally in uranium-bearing minerals."
"What common household item contains the element americium?","The standard household smoke detector contains a tiny amount of the element americium."
"Which isotope of americium is used in smoke detectors, and what is its half-life?","The isotope 241Am of americium is used in smoke detectors, and it has a half-life of 432 years."
"What isotope of neptunium is generated as a decay product in smoke detectors, and what is its half-life?","The decay product in smoke detectors is the 237Np isotope of neptunium, with a half-life of 2,145,500 years."
"Over time, what does the element americium in smoke detectors decay into?","Over time, the americium in smoke detectors decays into neptunium, and eventually into stable thallium after tens of millions of years."
"Referencing the text, what element is associated with the “grim reaper of the elements” due to its potential for death and destruction?","Plutonium is associated with the 'grim reaper of the elements' due to its potential for death and destruction."
"What is inferred by the phrase 'depending on whether Pluto is defined as a planet this week or not'?","The phrase suggests that the status of Pluto as a planet has been a subject of debate and change over time."
"What is the atomic number of Plutonium?","Plutonium has an atomic number of 94."
"Why is making atomic bombs considered incredibly difficult?","Making atomic bombs is difficult because acquiring the necessary isotopes in sufficient quantities is expensive and complex, requiring advanced technology and resources typically only available to governments of advanced nations."
"What makes uranium-235 hard to obtain for building atomic bombs?","Uranium-235 is hard to obtain because it is expensive to separate from the more abundant isotope uranium-238 found in nature."
"What is required to create a critical mass with uranium-235 for a bomb?","To create a critical mass with uranium-235 for a bomb, one essentially needs to build a cannon that shoots one subcritical lump of uranium into another."
"What challenge makes a plutonium bomb hard to create even if obtaining plutonium might seem easier?","The challenge in creating a plutonium bomb lies in the difficulty of turning plutonium into a bomb without fizzling, as it requires nearly perfect imploding explosive 'lenses' and state-of-the-art technology."
"What did David Hahn do in 1995 that relates to plutonium and reactor construction?","David Hahn attempted to construct a breeder reactor as his Eagle Scout project in 1995, which might have actually worked and led to big trouble."
"What happens if you shoot two subcritical masses of plutonium toward each other for a bomb?","If two subcritical masses of plutonium are shot toward each other, they start reacting before they touch, leading to a fizzle—where the reaction blows the plutonium apart before most of it can fission, spreading radiation but failing the intended large-scale destruction."
"Why is it said that plutonium has an unfair reputation according to the people at Los Alamos?","The people at Los Alamos published a paper defending plutonium against what they consider its unfair reputation as the most poisonous element."
"Is private ownership of plutonium legal?","Private ownership of plutonium is absolutely forbidden, with the only exception being for plutonium-powered pacemaker models."
"What exception exists for owning plutonium privately?","The only exception for private ownership of plutonium is for those who still have pacemaker models powered by plutonium thermoelectric batteries."
"What are undertakers instructed to do with plutonium-powered pacemakers they find?","Undertakers are instructed to send any plutonium from pacemakers back to Los Alamos by law."
"What indicates that there is significant regulation and tracking of plutonium?","The fact that all plutonium must be returned to Los Alamos and that private ownership is largely forbidden indicates the high level of regulation and tracking of plutonium."
"Are all synthetic radioactive elements as closely regulated and tracked as plutonium?","No, not all synthetic radioactive elements created in nuclear reactors are as highly regulated and tracked as plutonium, as implied by the example of americium mentioned in the text."
"In the context of the text, what does 'critical mass' refer to?","In the context, 'critical mass' refers to the minimum amount of fissile material needed to sustain a nuclear chain reaction for an atomic bomb."
"How does a plutonium bomb differ from a uranium bomb in terms of technical requirements for detonation?","A plutonium bomb requires the critical mass to be assembled by imploding a sphere with explosive 'lenses' which must be nearly perfect to avoid asymmetry, unlike the simpler 'cannon' method used for a uranium bomb."
"What is implied about the complexity of handling plutonium for weapons compared to uranium?","The text implies that while obtaining plutonium might be easier than uranium, the complexities in handling and detonating plutonium make it substantially more difficult to create a weapon from it."
"What is the atomic number of americium?","Americium has an atomic number of 95."
"Can americium be purchased at common retail stores?","Yes, americium can be bought at hardware stores, supermarkets, or Wal-Mart without any special restrictions."
"What isotope of americium is commonly available and how does its radioactivity compare to weapons-grade plutonium?","The commonly available isotope is 241Am, which is significantly more radioactive than weapons-grade plutonium and at least as toxic."
"Why is americium allowed to be sold to the public?","Americium is sold to the public because it has a useful application in ionization-type smoke detectors that requires only a very tiny amount, and a company has obtained a regulatory exception for this use."
"How does americium work in ionization-type smoke detectors?","Americium in smoke detectors releases alpha particles that generate an electric current; smoke particles interrupt this current, triggering the alarm."
"Are ionization-type smoke detectors with americium quick in responding to fires?","Yes, ionization-type smoke detectors with americium are significantly faster in responding to common fires compared to other types."
"What is the protective layer that surrounds the americium in smoke detectors made of?","The americium in smoke detectors is protected by a layer of gold."
"What happens if an americium button from a smoke detector is swallowed?","Swallowing an americium button from a smoke detector is generally not harmful as the button is protected by gold, which resists stomach acid allowing the button to pass through intact."
"Why is it considered unwise to reject smoke detectors over concerns about americium?","Rejecting smoke detectors because of their americium content is considered foolish since these detectors save lives by quickly responding to fires."
"Is americium the last element that can be legally owned without special licenses?","Yes, americium is the last element that individuals can legally own without the need for expensive special licenses."
"What trend does americium start among the elements named after it?","From americium onward, elements have been named after places or people, specifically scientists of high distinction."
"Who were the first scientists honored in the trend of naming elements after people?","The first scientists honored in this trend were Marie and Pierre Curie."
"What assumption might one make about americium based on its position in the periodic table and properties?","One might assume that americium, being a synthetic radioactive element following plutonium, would only be available to scientists in secretive settings, possibly for destructive purposes."
"What group of elements does americium belong to based on its naming convention?","Americium belongs to the group of elements named after places or people, indicating their discovery in more modern times and importance to scientific communities."
"Is americium fundamentally less dangerous than other elements around it on the periodic table?","No, americium is not fundamentally less dangerous, as it is more radioactive than weapons-grade plutonium and at least as toxic."
"What is the atomic number of curium?","The atomic number of curium is 96."
"Who were the Curies and what elements did they discover?","Marie and Pierre Curie were a scientific couple who discovered polonium (atomic number 84) and radium (atomic number 88)."
"Did the Curies discover curium?","No, the Curies did not discover curium."
"What is unique about seaborgium with regard to who discovered it?","Seaborgium may be considered the possible exception as an element that was named for a person potentially involved in its discovery, depending on the definition of 'discovered by.'"
"Why is it considered improper for scientists to name elements after themselves?","It is viewed as self-promotion and against the ethical norms of the scientific community, and any scientist attempting to do so would likely face professional shame."
"Who ultimately approves the names of new elements?","Element names have to be approved by the International Union of Pure and Applied Chemistry."
"Why are modern elements no longer named after individuals?","Since the era of 'big science' post-World War II, no element has been discovered by just one individual, making it inappropriate to name elements after one person."
"Who led the team that discovered curium?","Curium was discovered by a team led by Glenn T. Seaborg, Ralph A. James, and Albert Ghiorso."
"What accelerator was used in the discovery of curium?","The 60-inch cyclotron at the University of California, Berkeley, was used in the discovery of curium."
"What are some applications of curium?","Curium is used for its radioactivity in portable alpha-particle sources and radioisotope thermoelectric generators (RTGs), powering instruments in remote locations such as on space probes."
"What is the criteria for naming a new element after a person?","Generally, a new element is named after an important figure who has passed away, avoiding issues of self-promotion."
"How did berkelium get its name?","Berkelium was named after the place where it was discovered - the University of California, Berkeley."
"What is considered 'big science' and how has it changed element discovery?","'Big science' refers to large-scale scientific research projects that involve extensive cooperation and resources, meaning that discoveries are made by teams rather than individuals."
"In the context of scientific discoveries, what is seen as the 'next best thing' to having an element named after oneself?","Having an element named after the place of discovery is seen as a self-promotional loophole and is the 'next best thing' to personal naming."
"Why are Marie Curie's lab notebooks and cookbook stored in lead-lined boxes?","They are highly contaminated with radium, which she concentrated in her lab until it glowed in the dark, making them dangerously radioactive."
"What is the atomic number of berkelium?","The atomic number of berkelium is 97."
"What is the half-life of the longest-lived isotope of berkelium?","The half-life of the longest-lived isotope of berkelium, 247Bk, is 1,379 years."
"After two half-lives of berkelium-247, how much of a one-pound block would remain?","After two half-lives, a quarter of a pound of berkelium would remain."
"Into what element does berkelium transmute first?","Berkelium transmutes into americium, specifically isotope 243Am."
"How long is the half-life of americium-243?","The half-life of americium-243 is 7,388 years."
"Which isotope is formed from the decay of americium-243?","Americium-243 decays into 239Np (neptunium-239)."
"What is the half-life of plutonium-239?","The half-life of plutonium-239 is 24,124 years."
"What is the final stable product in the decay chain of berkelium?","The final stable product in the decay chain of berkelium is lead-207."
"Why is there only 5/6 of a pound of lead-207 left from the original pound of berkelium?","The missing 1/6 pound has turned into a combination of helium, from the emitted alpha particles, and pure energy released during the decay process."
"What do physicists call the nucleus of what chemists call a helium atom?","Physicists call it an alpha particle."
"How does the mass number of americium-243 compare to berkelium-247?","Americium-243 has a mass number that is four less than berkelium-247."
"What happens to the mass during the decay from neptunium-239 to plutonium-239?","The extra mass in neptunium-239 is converted directly into energy according to Einstein’s formula, E=mc²."
"What principle accounts for the conversion of mass into energy during radioactive decay?","The principle that accounts for this conversion is Einstein’s famous formula, E=mc²."
"Why would it be too dangerous to keep an actual pound of berkelium on your desk?","The decay of berkelium into other elements releases a large amount of energy, making it far too dangerous."
"Are there practical applications for berkelium?","Virtually no practical applications have been found for berkelium."
"What element, similar to berkelium in having a high atomic number, surprisingly has a few real applications?","Californium, despite being a high-numbered element, has a few real applications."
"Why does plutonium-239 weigh less than neptunium-239 if their mass numbers are the same?","Plutonium-239 weighs less because the mass lost in neptunium-239 has been converted into a significant amount of energy."
"What is the time period after which a block of berkelium will mostly consist of americium?","After ten thousand years or so, a block of berkelium will be mostly americium."
"What happens to the composition of the block after most of the plutonium-239 has decayed?","After most of the plutonium-239 has decayed, the block will consist mainly of uranium-235."
"What is the atomic number of californium?","The atomic number of californium is 98."
"Which scientist's name is frequently encountered in the context of elements around atomic number 98?","Glenn Seaborg's name is frequently encountered."
"List some of the elements Glenn Seaborg is credited with discovering.","Glenn Seaborg is credited with the discovery of plutonium (94), americium (95), curium (96), berkelium (97), einsteinium (99), fermium (100), mendelevium (101), nobelium (102), and seaborgium (106)."
"What makes the naming of seaborgium unique among the other elements named after individuals?","Seaborgium is unique because it was named after a person, Glenn Seaborg, who was alive at the time of naming, which was highly controversial."
"Why was the naming of seaborgium controversial?","The naming of seaborgium was controversial because it was named for a living person, contrary to the typical conventions of naming elements."
"What agreement was made to resolve the controversy surrounding the naming of seaborgium?","The controversy was resolved by a 1997 agreement that allowed Seaborg’s colleagues at the University of California, Berkeley, to name seaborgium, if they permitted the Joint Institute for Nuclear Research in Dubna, Russia, to name element 105."
"What is the official name for element 105, and why is it significant?","The official name for element 105 is dubnium, significant because it was part of a compromise between rival research groups over naming rights."
"Do some at Berkeley still refuse to accept the official name for element 105?","Yes, it is said that some people at Berkeley still refuse to call element 105 by its official name, dubnium."
"Why was there no controversy in the naming of einsteinium and fermium?","There was no controversy because Cold War secrecy delayed the announcement of their discovery and proposed names until after Albert Einstein and Enrico Fermi had already passed away."
"What is the main application of californium?","Californium's main application is as a powerful neutron emitter, making it both extremely dangerous and uniquely useful."
"In terms of radioactivity, which emission is considered the most dangerous?","Neutron emission is considered the most dangerous form of radioactivity."
"Why can neutrons pass through solid matter easily?","Neutrons can pass through solid matter with ease because they carry no charge, making them impervious to repulsion by electrons or protons."
"What happens when neutrons strike a nucleus?","When neutrons strike a nucleus, they can infiltrate and destabilize it, potentially converting the matter into radioactive isotopes."
"What is the consequence of being exposed to a beam of neutrons?","Exposure to a beam of neutrons can make you radioactive, as evident in the half-life of 15 hours from isotope 24Na in sodium."
"What is the use of neutron irradiation in material analysis?","Neutron irradiation is used in neutron activation analysis, which helps identify the presence of specific elements within a substance by analyzing the characteristic radiation emitted during decay."
"How can you determine the presence of gold inside a rock using neutrons?","By beaming neutrons at a rock and detecting gamma rays of a specific energy, the presence of gold can be confirmed."
"What is neutron activation analysis?","Neutron activation analysis is a technique that uses neutron irradiation to identify specific elements within substances by their decay radiation."
"What are some applications of neutron activation analysis?","Neutron activation analysis can be used to identify oil in oil wells, explosives in containers or luggage, and other substances without opening the containment."
"What role does californium play in neutron activation analysis?","Californium serves as a compact and portable source of a large number of neutrons, essential for portable inspection instruments used in applications such as oil well exploration."
"What marks the end of the elements' practical usefulness, according to the text?","After californium, the text implies that the practical usefulness of the subsequent elements diminishes, signifying a shift towards these elements being less important than the people or places they are named after."
"Which element exemplifies the decline in practical usefulness beyond californium?","Einsteinium exemplifies the decline in practical usefulness beyond the element of californium."
"What is the atomic number of Einsteinium?","Einsteinium has an atomic number of 99."
"How does the number of people with elements named after them compare to Nobel laureates?","There are far fewer people honored with elements named after them than there are Nobel laureates."
"Why was Einstein considered a 'shoo-in' for having an element named after him?","Einstein was the most famous scientist in history during his life, and he maintained considerable fame even half a century after his death."
"Who manages Einstein's image after his death?","An agent in Hollywood manages Einstein's image posthumously."
"What was the significance of the letter Einstein sent?","Einstein's letter led to the creation of the atomic bomb, making it one of the most important letters ever written."
"Did Einstein personally conceive and draft the crucial letter that led to the atomic bomb?","No, the idea for the letter and most of its contents were not Einstein's but were provided by Leó Szilárd."
"How does nuclear fission occur?","Nuclear fission occurs when a large atomic nucleus, like uranium, splits into two lighter nuclei upon absorbing a neutron."
"What did Leó Szilárd realize about nuclear fission that caused him concern?","Szilárd realized that if a nuclear chain reaction was initiated, it could lead to large-scale destruction."
"What sparked Leó Szilárd's vision of a 'dark future' relating to nuclear fission?","The realization that more neutrons released during fission could cause a self-sustaining chain reaction."
"What were Szilárd's fears regarding Germany and nuclear chain reactions?","Szilárd feared that Nazi Germany might develop a nuclear chain reaction for warfare before anyone else, especially given the presence of nuclear physicists in Germany."
"Why did Szilárd choose Einstein to send the letter to President Roosevelt?","Einstein was famous and influential, which gave more weight to the letter's message warning about nuclear weapons."
"Einstein's letter to President Roosevelt paved the way for which significant event?","Einstein's letter eventually led to the development and testing of the first nuclear device named Trinity."
"What were the limitations that hindered the German scientists in developing their own atomic bomb?","The German scientists failed to effectively communicate the urgency to their leadership, and Nazi racial policies drove away talented individuals like Enrico Fermi."
"When was the Trinity nuclear device tested?","The Trinity nuclear device was tested five years, eleven months, and fourteen days after Einstein's letter was delivered to Roosevelt."
"How did racial policies affect Nazi Germany's nuclear program?","Nazi Germany's insistence on Aryan racial purity resulted in losing key scientists such as Enrico Fermi to other countries."
"In comparison to winning a Nobel Prize, how difficult is it to have an element named after oneself?","Getting an element named after oneself is extremely difficult in comparison to winning a Nobel Prize."
"What is the atomic number of fermium?","100."
"Who is noted for creating the first sustained nuclear chain reaction, and where did it occur?","Enrico Fermi is credited with creating the first sustained nuclear chain reaction in a racquets court under Stagg Field at the University of Chicago."
"What significant event did Enrico Fermi's Chicago Pile One, or CP-1, achieve on December 2, 1942?","CP-1 went critical."
"Can you explain what a nuclear chain reaction involves?","A nuclear chain reaction starts when a neutron hits and splits a heavy atom, resulting in more neutrons being released which then go on to split more atoms, continuing the reaction."
"Why is it challenging to achieve a sustained nuclear chain reaction using uranium?","Because neutrons from uranium fission are very fast, and uranium atoms are only efficiently split by slower-moving neutrons, plus the likelihood of neutrons exiting the uranium block before causing more fissions if the block is not large enough."
"What methods did Fermi use to initiate a sustained nuclear chain reaction?","Fermi used tons of uranium and uranium oxide, high-purity graphite as a moderator, and control rods made of cadmium to increase the neutron-production ratio and control the reaction."
"What materials composed the Chicago Pile One (CP-1)?","The CP-1 was composed of several tons of uranium and uranium oxide alternated with blocks of high-purity graphite."
"What role did control rods play in Fermi's nuclear reactor?","Control rods made of cadmium absorbed neutrons to keep the neutron production ratio below one, which prevented an uncontrolled chain reaction."
"How did Fermi's team manage the risk of the nuclear chain reaction during the experiment?","The team carefully monitored the neutron count and conducted tests to ensure the pile could be shut down by reinserting the control rods, in addition to having an emergency measure involving a man with an ax to cut ropes holding up emergency control rods."
"What was the neutron-production ratio when CP-1 reached criticality, and how long did the reaction last?","The neutron-production ratio was 1.0006, and the reaction lasted for 28 minutes."
"How much power did CP-1 generate during its first controlled nuclear chain reaction?","It generated about half a watt of power."
"Despite his contributions to atomic power, what is the relationship between Enrico Fermi and the element fermium?","There is no direct relationship between Enrico Fermi's nuclear work and the element fermium aside from the name; fermium, like the eighteen elements following it, has no applications."
"What was the importance of the graphite used in CP-1?","Graphite served as an excellent neutron moderator, which was essential for controlling the speed of the neutrons and enabling a sustained chain reaction."
"Was CP-1 successful in proving that a self-sustaining nuclear chain reaction was possible?","Yes, CP-1 was successful in demonstrating the possibility of a self-sustaining nuclear chain reaction."
"How did the team ensure the CP-1 experiment was safely controlled?","The team used control rods to regulate the reaction, closely monitored the neutron count, and had emergency control rods suspended by a rope, which could be released by cutting it with an ax in an emergency scenario."
"What does the experiment conducted by Fermi's team signify in the history of atomic power?","Fermi's experiment is a landmark event that signifies the first controlled release of nuclear energy, paving the way for the development of atomic power."
"What is the atomic number of mendelevium?","Mendelevium has an atomic number of 101."
"What is the range of elements for which only a limited amount of atoms have been created?","Elements with atomic numbers 101 through 109 have a very limited amount of atoms created."
"At what point in the periodic table are there nuclei too unwieldy to be stable?","By the time we reach meitnerium, nuclei are too big and unwieldy to stay together for more than a few hours."
"Which element named after a person has the longest-lived isotope and what is its half-life?","Mendelevium, named after Dmitri Mendeleev, has the longest-lived isotope with a half-life of 74 days."
"Who has an element named after them despite not receiving a Nobel Prize, and why didn't they receive the prize?","Dmitri Mendeleev didn't receive a Nobel Prize because they weren’t established when he invented the periodic table, and Lise Meitner didn’t win mainly because she was a woman."
"What distinction is considered more prestigious than a Nobel Prize according to the text, and who attained it?","Having an element named in your honor is considered more prestigious than a Nobel Prize, and Lise Meitner achieved this distinction."
"Why can't the name 'hahnium' be used for any element as per the naming rules?","Because 'hahnium' was once considered for element 105, the rules state that this name cannot be used for any element again."
"Where was Otto Hahn when the Nobel Committee was trying to award him the prize?","Otto Hahn was in secret confinement with other top German nuclear scientists at a place called Farm Hall when the Nobel Committee was looking for him."
"Which machine did Ernest Lawrence build that helped discover many new elements, and what is the element named after him?","Ernest Lawrence built the first working cyclotrons, and the element named after him is lawrencium."
"What contributions to the field of atomic structure were made by Ernest Rutherford and Niels Bohr?","Ernest Rutherford discovered that elements had nuclei, and Niels Bohr showed how the periodic table's buildup could be understood in terms of electron orbitals."
"How did hassium get its name?","Hassium is named after the German state of Hesse, where it was discovered."
"Which element is the German equivalent of berkelium, and why?","The German equivalent of berkelium is darmstadtium, named after the city of Darmstadt in Germany."
"What is the significance of the location 'Farm Hall' in the context of Otto Hahn?","Farm Hall is where Otto Hahn was being held in secret confinement when the Nobel Committee was trying to locate him to award him the Nobel Prize."
"Can you list the two elements mentioned in the text that had controversial naming processes before being officially named?","Dubnium and seaborgium are the two elements that had contentious naming processes."
"How does the text compare the value of a Nobel Prize with that of having an element named in one's honor?","The text suggests that having an element named in one's honor is a greater distinction than winning a Nobel Prize."
"What peculiar event occurred involving Werner Heisenberg as journalists sought Otto Hahn?","A journalist may have seen Werner Heisenberg exercising naked in the garden while trying to locate Otto Hahn."
"Who are the individuals honored with named elements in the transuranic range and what do they mostly have in common?","Most of the individuals honored with named elements in the transuranics have won Nobel Prizes."
"What is the atomic number of darmstadtium?","The atomic number of darmstadtium is 110."
"Why can it be said that elements with a higher atomic number than darmstadtium don't actually exist?","These elements don't actually exist on earth in a natural state; they can only be created artificially in a heavy-ion research accelerator."
"How is the city of Darmstadt related to the element darmstadtium?","Darmstadtium is named after the German city of Darmstadt, where the Gesellschaft für Schwerionenforschung (Institute for Heavy Ion Research) is located."
"Identify the city-state-country triad mentioned in the text.","The triad consists of darmstadtium-hassium-germanium."
"Why is it ironic that the element named after Wilhelm Conrad Röntgen does not emit x-rays?","It is ironic because Wilhelm Conrad Röntgen discovered x-rays, yet his namesake element doesn't emit them upon decay."
"What is the naming convention for elements after element 111?","The names are temporary placeholder names constructed from the digits in their atomic numbers, using a mixture of Greek and Latin."
"Why was a mix of Greek and Latin used in the naming of newly discovered elements?","A mix of Greek and Latin was used to ensure that no digits start with the same letter, allowing the construction of systematic three-letter symbols for the elements."
"What is the systematic three-letter symbol for element 116?","The three-letter symbol for element 116, ununhexium, is Uuh."
"Where does the periodic table currently end and why?","The periodic table currently ends at element 118 because that's the last element that fits into the standard arrangement, and no higher elements have been discovered."
"What is the 'island of stability' in the context of the periodic table?","The 'island of stability' refers to theoretical predictions of elements around atomic numbers 120 or 122, which might have significantly longer half-lives than other high-numbered elements."
"As of the text's writing, which elements between 112 and 118 have not been officially named and why?","Elements 112 through 118, excepting 117, have not been officially named due to competing claims of priority and the need for thorough review by the naming committee."
What group is carbon in?,Carbon is in group 14.
What period is carbon in?,Carbon is in period 2.
What is carbon's atomic weight?,Carbon's atomic weight is 12.01.
What is carbon's state at room temperature?,Carbon's state is solid at room temperature.
How many protons does carbon have?,Carbon has 6 protons.
How many neutrons does carbon usually have?,Carbon usually has 6 neutrons.
How many electrons does carbon usually have?,Carbon usually has 6 electrons.
What is carbon's symbol?,Carbon's symbol is C.
Where is carbon most abundant?,"Carbon is most abundant in rocks, such as those in Earth's crust."
What column is carbon in?,Carbon is in column 14.
What row is carbon in?,Carbon is in row 2.
What is carbon's melting point?,"Carbon's melting point is 3,550 degrees Celsius."
What is carbon's boiling point?,"Carbon's boiling point is 4,827 degrees Celsius."
What is carbon's radius?,Carbon's radius is 67 picometers.
What is unique about carbon?,Carbon is essential to life as we know it because it readily forms many bonds with a variety of elements.
What group is silicon in?,Silicon is in group 14.
What period is silicon in?,Silicon is in period 3.
What is silicon's atomic weight?,Silicon's atomic weight is 28.09.
What is silicon's state at room temperature?,Silicon's state is solid at room temperature.
How many protons does silicon have?,Silicon has 14 protons.
How many neutrons does silicon usually have?,Silicon usually has 14 neutrons.
How many electrons does silicon usually have?,Silicon usually has 14 electrons.
What is silicon's symbol?,Silicon's symbol is S.
Where is silicon most abundant?,"Silicon, like many metals, is common in rocks where it forms a component of minerals."
What column is silicon in?,Silicon is in column 14.
What row is silicon in?,Silicon is in row 3.
What is silicon's melting point?,"Silicon's melting point is 1,410 degrees Celsius."
What is silicon's boiling point?,"Silicon's boiling point is 3,265 degrees Celsius."
What is silicon's radius?,Silicon's radius is 111 picometers.
What is unique about silicon?,Silicon is used to make the transistors at the heart of all computers.
What group is argon in?,Argon is in group 18.
What period is argon in?,Argon is in period 3.
What is argon's atomic weight?,Argon's atomic weight is 39.95.
What is argon's state at room temperature?,Argon's state is gas at room temperature.
How many protons does argon have?,Argon has 18 protons.
How many neutrons does argon usually have?,Argon usually has 18 neutrons.
How many electrons does argon usually have?,Argon usually has 18 electrons.
What is argon's symbol?,Argon's symbol is Ar.
Where is argon most abundant?,Argon is the third most abundant gas in Earth's atmosphere.
What column is argon in?,Argon is in column 18.
What row is argon in?,Argon is in row 3.
What is argon's melting point?,Argon's melting point is -189.2 degrees Celsius.
What is argon's boiling point?,Argon's boiling point is -185.7 degrees Celsius.
What is argon's radius?,Argon's radius is 71 picometers.
What is unique about argon?,"Argon is a noble gas, meaning that it is much less reactive than most other elements."
What group is calcium in?,Calcium is in group 2.
What period is calcium in?,Calcium is in period 4.
What is calcium's atomic weight?,Calcium's atomic weight is 40.01.
What is calcium's state at room temperature?,Calcium's state is solid at room temperature.
How many protons does calcium have?,Calcium has 20 protons.
How many neutrons does calcium usually have?,Calcium usually has 20 neutrons.
How many electrons does calcium usually have?,Calcium usually has 20 electrons.
What is calcium's symbol?,Calcium's symbol is C.
Where is calcium most abundant?,"Calcium, like many metals, is common in rocks where it forms a component of minerals. It is the third most common metal in Earth's crust."
What column is calcium in?,Calcium is in column 2.
What row is calcium in?,Calcium is in row 4.
What is calcium's melting point?,Calcium's melting point is 842 degrees Celsius.
What is calcium's boiling point?,"Calcium's boiling point is 1,484 degrees Celsius."
What is calcium's radius?,Calcium's radius is 194 picometers.
What is unique about calcium?,Calcium is common in the human body and it is very important for many body functions.
What group is iron in?,Iron is in group 8.
What period is iron in?,Iron is in period 4.
What is iron's atomic weight?,Iron's atomic weight is 55.85.
What is iron's state at room temperature?,Iron's state is solid at room temperature.
How many protons does iron have?,Iron has 26 protons.
How many neutrons does iron usually have?,Iron usually has 26 neutrons.
How many electrons does iron usually have?,Iron usually has 26 electrons.
What is iron's symbol?,Iron's symbol is Fe.
Where is iron most abundant?,"Iron, like many metals, is common in rocks where it forms a component of minerals. In Earth, it makes up most of the core."
What column is iron in?,Iron is in column 8.
What row is iron in?,Iron is in row 4.
What is iron's melting point?,"Iron's melting point is 1,538 degrees Celsius."
What is iron's boiling point?,"Iron's boiling point is 2,861 degrees Celsius."
